"ISO3","word","n","total","tf","idf","tf_idf","ISO2","Country"
"ZAF","africa",22,1054,0.0208728652751423,0.746069582014288,0.015572609871266,"ZA","South Africa"
"ZAF","world",21,1054,0.0199240986717268,0.0314161962333789,0.000625939393644172,"ZA","South Africa"
"RUS","world",19,1326,0.0143288084464555,0.0314161962333789,0.000450156657944343,"RU","Russian Federation (the)"
"UKR","russia",19,677,0.0280649926144756,1.26052497383086,0.0353766240809251,"UA","Ukraine"
"BRA","world",18,1130,0.015929203539823,0.0314161962333789,0.000500434984248514,"BR","Brazil"
"UKR","war",17,677,0.0251107828655835,0.326215736454024,0.00819153252543339,"UA","Ukraine"
"ZAF","nations",17,1054,0.0161290322580645,0.0638514719865328,0.00102986245139569,"ZA","South Africa"
"RUS","west",16,1326,0.0120663650075415,1.50665804336977,0.0181798858928479,"RU","Russian Federation (the)"
"ZAF","african",16,1054,0.015180265654649,0.873409004390889,0.0132585807118162,"ZA","South Africa"
"BRA","countries",15,1130,0.0132743362831858,0.0529224014543425,0.000702509753818706,"BR","Brazil"
"UKR","ukraine",15,677,0.0221565731166913,0.514267967956963,0.0113944158336107,"UA","Ukraine"
"ZAF","countries",15,1054,0.0142314990512334,0.0529224014543425,0.000753165106086469,"ZA","South Africa"
"RUS","global",14,1326,0.0105580693815988,0.0917084264894989,0.000968263929753382,"RU","Russian Federation (the)"
"ZAF","south",14,1054,0.0132827324478178,0.825206902573012,0.0109610025009698,"ZA","South Africa"
"IND","global",13,814,0.015970515970516,0.0917084264894989,0.00146463088988143,"IN","India"
"IND","india",12,814,0.0147420147420147,2.62880082944807,0.038753820581544,"IN","India"
"IND","nations",12,814,0.0147420147420147,0.0638514719865328,0.000941299341324807,"IN","India"
"RUS","countries",12,1326,0.00904977375565611,0.0529224014543425,0.000478935759767806,"RU","Russian Federation (the)"
"ZAF","conflict",12,1054,0.0113851992409867,0.463837114330072,0.0052808779620122,"ZA","South Africa"
"ZAF","global",12,1054,0.0113851992409867,0.0917084264894989,0.00104411870766033,"ZA","South Africa"
"ZAF","peace",12,1054,0.0113851992409867,0.0583720062219073,0.00066457692093253,"ZA","South Africa"
"BRA","brazil",11,1130,0.00973451327433628,3.18841661738349,0.031037683886034,"BR","Brazil"
"RUS","nato",11,1326,0.00829562594268477,2.78295150927533,0.0230863247375781,"RU","Russian Federation (the)"
"ZAF","support",11,1054,0.0104364326375712,0.120363682249875,0.00125616746181084,"ZA","South Africa"
"UKR","nuclear",10,677,0.0147710487444609,1.26052497383086,0.0186192758320658,"UA","Ukraine"
"ZAF","development",10,1054,0.0094876660341556,0.086074608771243,0.000816647142042154,"ZA","South Africa"
"ZAF","women",10,1054,0.0094876660341556,0.595029324601422,0.00564543951234746,"ZA","South Africa"
"IND","president",9,814,0.0110565110565111,0.0261111440036858,0.000288698152374904,"IN","India"
"RUS","europe",9,1326,0.00678733031674208,1.10897507570366,0.00752698015183477,"RU","Russian Federation (the)"
"RUS","security",9,1326,0.00678733031674208,0.0749013081731177,0.000508379919727043,"RU","Russian Federation (the)"
"RUS","war",9,1326,0.00678733031674208,0.326215736454024,0.00221413395783274,"RU","Russian Federation (the)"
"ZAF","people",9,1054,0.00853889943074004,0.0367495422087414,0.000313800645046179,"ZA","South Africa"
"BRA","amazon",8,1130,0.00707964601769911,3.65842024662923,0.0259003203301184,"BR","Brazil"
"BRA","global",8,1130,0.00707964601769911,0.0917084264894989,0.000649263196385833,"BR","Brazil"
"BRA","inequality",8,1130,0.00707964601769911,1.46119566929301,0.0103447481011894,"BR","Brazil"
"BRA","president",8,1130,0.00707964601769911,0.0261111440036858,0.000184857656663262,"BR","Brazil"
"IND","development",8,814,0.00982800982800983,0.086074608771243,0.000845942100945877,"IN","India"
"IND","world",8,814,0.00982800982800983,0.0314161962333789,0.000308758685340333,"IN","India"
"UKR","peace",8,677,0.0118168389955687,0.0583720062219073,0.000689772599372612,"UA","Ukraine"
"ZAF","assembly",8,1054,0.00759013282732448,0.0638514719865328,0.000484641153597972,"ZA","South Africa"
"ZAF","community",8,1054,0.00759013282732448,0.21161235371502,0.00160616587259977,"ZA","South Africa"
"ZAF","human",8,1054,0.00759013282732448,0.180261823830944,0.00136821118657263,"ZA","South Africa"
"ZAF","united",8,1054,0.00759013282732448,0.0804723532225732,0.000610795849886704,"ZA","South Africa"
"ZAF","war",8,1054,0.00759013282732448,0.326215736454024,0.00247602077004952,"ZA","South Africa"
"BRA","sustainable",7,1130,0.00619469026548673,0.137959444140255,0.000854616025647596,"BR","Brazil"
"IND","g20",7,814,0.0085995085995086,1.90056232907685,0.0163439020927985,"IN","India"
"RUS","eu",7,1326,0.0052790346907994,2.00976162104185,0.0106096013177171,"RU","Russian Federation (the)"
"RUS","washington",7,1326,0.0052790346907994,3.32194801000801,0.0175366787858643,"RU","Russian Federation (the)"
"RUS","western",7,1326,0.0052790346907994,1.8021222562636,0.00951346590787723,"RU","Russian Federation (the)"
"UKR","weapons",7,677,0.0103397341211226,1.15698429489002,0.0119629099914773,"UA","Ukraine"
"UKR","world",7,677,0.0103397341211226,0.0314161962333789,0.000324835116150151,"UA","Ukraine"
"ZAF","continent",7,1054,0.00664136622390892,1.10897507570366,0.0073651096109351,"ZA","South Africa"
"ZAF","sustainable",7,1054,0.00664136622390892,0.137959444140255,0.000916239192582337,"ZA","South Africa"
"BRA","agenda",6,1130,0.00530973451327434,0.355203273327276,0.00188603507961386,"BR","Brazil"
"BRA","country",6,1130,0.00530973451327434,0.114566564565549,0.000608318041940969,"BR","Brazil"
"RUS","military",6,1326,0.00452488687782805,0.885831524389446,0.00400828744067623,"RU","Russian Federation (the)"
"RUS","russia",6,1326,0.00452488687782805,1.26052497383086,0.0057037329132618,"RU","Russian Federation (the)"
"RUS","time",6,1326,0.00452488687782805,0.161912685162748,0.000732636584446822,"RU","Russian Federation (the)"
"UKR","aggression",6,677,0.00886262924667651,1.24250646832818,0.0110118741653901,"UA","Ukraine"
"UKR","children",6,677,0.00886262924667651,1.03375165446607,0.00916175764667122,"UA","Ukraine"
"UKR","food",6,677,0.00886262924667651,0.455673803690911,0.0040384679795354,"UA","Ukraine"
"UKR","formula",6,677,0.00886262924667651,2.78295150927533,0.0246642674381861,"UA","Ukraine"
"UKR","people",6,677,0.00886262924667651,0.0367495422087414,0.000325697567581165,"UA","Ukraine"
"UKR","power",6,677,0.00886262924667651,0.735258665910072,0.00651632495636696,"UA","Ukraine"
"UKR","united",6,677,0.00886262924667651,0.0804723532225732,0.00071319663121926,"UA","Ukraine"
"ZAF","achieve",6,1054,0.00569259962049336,0.455673803690911,0.00259396852195964,"ZA","South Africa"
"ZAF","council",6,1054,0.00569259962049336,0.250578322248404,0.00142644206213513,"ZA","South Africa"
"BRA","assembly",5,1130,0.00442477876106195,0.0638514719865328,0.000282528637108552,"BR","Brazil"
"BRA","climate",5,1130,0.00442477876106195,0.0917084264894989,0.000405789497741146,"BR","Brazil"
"BRA","crisis",5,1130,0.00442477876106195,0.370018359112417,0.00163724937660361,"BR","Brazil"
"BRA","development",5,1130,0.00442477876106195,0.086074608771243,0.000380861100757712,"BR","Brazil"
"BRA","economic",5,1130,0.00442477876106195,0.192684343829501,0.000852585592165934,"BR","Brazil"
"BRA","fight",5,1130,0.00442477876106195,1.04835045388722,0.00463871882250983,"BR","Brazil"
"BRA","inequalities",5,1130,0.00442477876106195,2.04898233419513,0.00906629351413773,"BR","Brazil"
"BRA","overcome",5,1130,0.00442477876106195,1.3166144404819,0.00582572761275177,"BR","Brazil"
"BRA","social",5,1130,0.00442477876106195,0.472067613466587,0.00208879474985215,"BR","Brazil"
"IND","excellencies",5,814,0.00614250614250614,0.693147180559945,0.00425766081425028,"IN","India"
"IND","future",5,814,0.00614250614250614,0.243977638217052,0.00149863414138238,"IN","India"
"IND","international",5,814,0.00614250614250614,0.0475023339850033,0.000291783378286261,"IN","India"
"RUS","allies",5,1326,0.00377073906485671,2.37748640116716,0.00896488084904662,"RU","Russian Federation (the)"
"RUS","country",5,1326,0.00377073906485671,0.114566564565549,0.000432000620533745,"RU","Russian Federation (the)"
"RUS","economic",5,1326,0.00377073906485671,0.192684343829501,0.000726562382464182,"RU","Russian Federation (the)"
"RUS","international",5,1326,0.00377073906485671,0.0475023339850033,0.000179118906429122,"RU","Russian Federation (the)"
"RUS","nuclear",5,1326,0.00377073906485671,1.26052497383086,0.0047531107610515,"RU","Russian Federation (the)"
"RUS","political",5,1326,0.00377073906485671,0.263911853117869,0.000995142734230275,"RU","Russian Federation (the)"
"RUS","russian",5,1326,0.00377073906485671,1.46119566929301,0.0055097875916026,"RU","Russian Federation (the)"
"RUS","situation",5,1326,0.00377073906485671,0.724563376793324,0.00273213942983908,"RU","Russian Federation (the)"
"UKR","assembly",5,677,0.00738552437223043,0.0638514719865328,0.000471576602559326,"UA","Ukraine"
"UKR","countries",5,677,0.00738552437223043,0.0529224014543425,0.00039085968577801,"UA","Ukraine"
"UKR","global",5,677,0.00738552437223043,0.0917084264894989,0.000677314818977097,"UA","Ukraine"
"ZAF","actions",5,1054,0.0047438330170778,0.713981267462787,0.00338700791016502,"ZA","South Africa"
"ZAF","building",5,1054,0.0047438330170778,0.623467259921956,0.0029576245726848,"ZA","South Africa"
"ZAF","call",5,1054,0.0047438330170778,0.277425572284592,0.00131606058958535,"ZA","South Africa"
